584                     N5
2001 -3.51657 1.76949
2079 6.06817 0.644297
2057 -7.07597 -0.399889
2067 -7.49593 -0.487787
2077 -0.0461025 -0.880729
2074 4.6034 -3.11095
2114 -9.65175 -3.21633
2086 -9.95275 -6.81198
-99
581
2102 3.82133 7.54343
2116 6.03417 7.04487
2108 9.43207 6.50858
2023 -4.51422 6.20911
2029 2.73395 5.71233
2125 -7.64503 5.64862
2080 -0.124987 5.43865
2117 -4.55454 5.16493
2082 5.74467 4.91104
2104 -2.24913 4.57014
2120 4.8062 3.02124
2018 -4.52842 2.84356
2127 -7.42545 1.87793
2033 -0.859291 1.81809
2020 0.411358 1.82855
2036 -9.3434 1.32668
2105 -2.58862 1.30439
2077 11.3816 1.18303
2088 4.05775 0.995103
2001 6.69345 0.21919
2059 2.56195 0.0196287
2069 5.27832 -1.42878
2060 -2.12239 -1.95073
2093 3.22027 -2.03662
2067 7.53238 -2.62275
2062 -6.06833 -3.00516
2099 1.94071 -4.16851
2114 8.49617 -4.90132
2061 5.84153 -6.2759
2071 0.377981 -6.61365
2086 10.4843 -6.74164
-99
598
2008 -1.96775 7.32194
2112 4.36474 6.91788
2119 6.45302 6.70456
2026 0.951844 6.2778
2016 5.21882 6.09865
2122 2.31762 5.79427
2024 -2.59735 5.07688
2090 0.180732 4.5566
2005 5.81108 4.50358
2100 -3.90978 4.22042
2095 3.55877 3.7749
2123 11.0172 3.65753
2031 -0.679557 2.70565
2102 4.82742 1.85926
2116 7.02365 1.48211
2085 0.953217 1.28269
2108 10.3291 1.11831
2023 -3.41921 -0.0621738
2015 -8.92986 -0.104579
2029 3.94487 -0.111896
2082 6.97707 -0.733443
2125 -6.59333 -0.858778
2117 -3.37252 -1.18459
2080 1.39069 -1.25758
2010 10.0855 -2.13426
2104 -0.684962 -2.33791
2120 6.24729 -2.77253
2007 -6.88663 -3.24515
2018 -3.15147 -3.6707
2020 1.98708 -4.38945
2127 -6.10402 -4.90886
2088 5.7106 -4.97074
2033 0.979443 -5.17989
2001 8.43492 -5.57713
2105 -0.741396 -5.8656
2036 -7.71913 -6.71378
2059 4.60203 -6.81698
-99
585
2087 0.346114 7.42382
2119 -4.06734 6.76135
2103 6.98352 6.54377
2079 9.20175 5.83229
2110 0.877345 5.62657
2112 -6.11515 5.09399
2108 4.05517 4.96833
2089 -9.03475 4.5298
